ID TIME cluster
8 1676835535.966 (46050, -41113, 1676832567, 2, 10, 55404606629944959150, 318876308561267250, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 45783, -41060) 0
8 1676835535.967 (-16223, -80661, 1676835540, 1, 10, 53370100526978001800, 47042472658547333800, 1, '0x3662FA93E6C3bcB04B95e5dD7B1266AD9e8A9965', 1, -16363, -80443) 1
8 1676835535.967 (-8844, 70699, 1676835540, 1, 10, 49890793895432127700, 41474533868397723200, 1, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 1, -8742, 70924) 1
8 1676835535.968 (-62306, 29388, 1676835540, 1, 10, 55592651951125649400, 49009790087087393500, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 0, -62749, 29664) 1
8 1676835535.968 (-69167, 27287, 1676835540, 1, 10, 52831956468864782100, 52831956468864782100, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, -69167, 27287) 1
8 1676835535.969 (-14380, -83542, 1676835540, 1, 10, 58349020422512461200, 58349020422512461200, 1, '0x77B770ceB4b2537e52f4534Bb39e43754eB5B7e5', 1, -14236, -83801) 1
8 1676835535.969 (44159, -40297, 1676832957, 3, 1, 239157231420950400, 239157231420950400, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 44159, -40297) 0
8 1676835535.969 (-59748, 44440, 1676832967, 3, 1, 2670004356258705200, 2670004356258705200, 1, '0x05d6edC4ff8ef40321aBCf7886Bc606ed13327b0', 1, -59748, 44440) 1
8 1676835535.97 (-18899, 84981, 1676832995, 3, 1, 2026661190537193000, 2026661190537193000, 0, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 1, -18899, 84981) 0
8 1676835535.97 (46190, -41892, 1676833017, 3, 1, 239157231420950400, 239157231420950400, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 46190, -41892) 0
8 1676835535.97 (45855, -42556, 1676833047, 3, 1, 239157231420950400, 239157231420950400, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 45855, -42556) 0
8 1676835535.971 (-9346, 64684, 1676835540, 1, 10, 54651908430476809200, 54651908430476809200, 1, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, -9346, 64684) 1
8 1676835535.971 (46074, -40490, 1676833107, 3, 1, 239157231420950400, 239157231420950400, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 46074, -40490) 0
8 1676835535.972 (-9550, 72832, 1676835540, 1, 10, 46373564948053853400, 46373564948053853400, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, -9458, 72912) 1
8 1676835535.972 (-14604, -85449, 1676835540, 1, 10, 60835092075216525900, 57637440818537037500, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 1, -14588, -85511) 1
8 1676835535.973 (43566, -41426, 1676833287, 3, 1, 239157231420950400, 239157231420950400, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 43566, -41426) 0
8 1676835535.973 (-65795, 30899, 1676835540, 1, 10, 54070581184455427300, 51780911868073409300, 1, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 1, -65822, 30903) 1
8 1676835535.973 (-8152, 66445, 1676835540, 1, 10, 59584809315368009000, 52233608885173674000, 1, '0x036D6B4DA0b4Eeb9d312E958c2937D9016765F50', 1, -8049, 67496) 1
8 1676835535.974 (44423, -40003, 1676833377, 3, 1, 239157231420950400, 239157231420950400, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 44423, -40003) 0
8 1676835535.974 (45590, -42412, 1676833437, 3, 1, 239157231420950400, 239157231420950400, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, 45590, -42412) 0
8 1676835535.974 (-12262, -76667, 1676835540, 1, 10, 41475363252099119000, 41475363252099119000, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, -12262, -76667) 1
