ID TIME FPS
4 222.018 0.47
4 222.514 0.5
4 223.045 0.53
4 223.519 0.46
4 224.012 0.49
4 224.546 0.53
4 225.02 0.47
4 225.524 0.5
4 226.033 0.51
4 226.523 0.49
4 227.026 0.5
4 227.528 0.5
4 228.055 0.52
4 228.52 0.46
4 229.058 0.53
4 229.514 0.45
4 230.024 0.51
4 230.525 0.5
4 231.027 0.5
4 231.519 0.49
4 232.031 0.51
4 232.514 0.48
4 233.014 0.5
4 233.524 0.51
4 234.02 0.49
4 234.522 0.5
4 235.024 0.5
4 235.519 0.49
4 236.063 0.54
4 236.523 0.46
4 237.024 0.5
4 237.546 0.52
4 238.038 0.49
4 238.529 0.49
4 239.059 0.53
4 239.519 0.46
4 240.034 0.51
4 240.553 0.52
4 241.017 0.46
4 241.528 0.51
4 242.024 0.5
4 242.553 0.53
4 243.022 0.47
4 243.538 0.52
4 244.021 0.48
4 244.528 0.5
4 245.022 0.48
4 245.546 0.52
4 246.019 0.47
4 246.53 0.51
4 247.051 0.52
4 247.525 0.47
4 248.041 0.51
4 248.53 0.47
4 249.028 0.5
4 249.548 0.52
4 250.056 0.51
4 250.533 0.48
4 251.046 0.51
4 251.528 0.48
4 252.052 0.52
4 252.522 0.47
4 253.024 0.5
4 253.527 0.5
4 254.058 0.53
4 254.536 0.48
4 255.024 0.49
4 255.522 0.5
4 256.066 0.54
4 256.518 0.45
4 257.047 0.53
4 257.532 0.48
4 258.03 0.5
4 258.533 0.5
4 259.026 0.49
4 259.532 0.51
4 260.049 0.51
4 260.519 0.47
4 261.029 0.51
4 261.534 0.5
4 262.029 0.49
4 262.53 0.5
4 263.023 0.49
4 263.545 0.52
4 264.034 0.49
4 264.539 0.5
4 265.022 0.48
4 265.527 0.5
4 266.025 0.5
4 266.521 0.5
4 267.051 0.53
4 267.521 0.47
4 268.023 0.5
4 268.524 0.5
4 269.023 0.5
4 269.56 0.53
4 270.039 0.48
4 270.532 0.49
4 271.034 0.5
4 271.523 0.49
4 272.071 0.55
4 272.529 0.46
4 273.042 0.51
4 273.53 0.47
4 274.028 0.5
4 274.532 0.5
4 275.053 0.52
4 275.526 0.47
4 276.043 0.52
4 276.524 0.48
4 277.033 0.51
4 277.523 0.49
4 278.045 0.52
4 278.524 0.48
4 279.025 0.5
4 279.537 0.51
4 280.042 0.5
4 280.527 0.48
4 281.052 0.51
4 281.532 0.48
4 282.038 0.5
4 282.539 0.5
4 283.03 0.49
4 283.529 0.5
4 284.061 0.53
4 284.539 0.48
4 285.039 0.5
4 285.575 0.54
4 286.032 0.46
4 286.559 0.52
4 287.03 0.47
4 287.532 0.5
4 288.051 0.52
4 288.533 0.47
4 289.063 0.53
4 289.548 0.48
4 290.027 0.47
4 290.535 0.51
4 291.028 0.49
4 291.552 0.52
4 292.027 0.47
4 292.536 0.51
4 293.038 0.5
4 293.526 0.49
4 294.038 0.51
4 294.559 0.52
4 295.048 0.48
4 295.548 0.5
4 296.036 0.48
4 296.532 0.5
4 297.065 0.53
4 297.529 0.46
4 298.042 0.51
4 298.557 0.51
4 299.038 0.48
4 299.554 0.51
4 300.046 0.49
4 300.532 0.49
4 301.038 0.51
4 301.558 0.52
4 302.028 0.47
4 302.542 0.51
4 303.064 0.52
4 303.539 0.47
4 304.035 0.49
4 304.532 0.5
4 305.049 0.52
4 305.53 0.48
4 306.037 0.51
4 306.535 0.5
4 307.065 0.53
4 307.545 0.48
4 308.031 0.49
4 308.531 0.5
4 309.04 0.51
4 309.54 0.5
4 310.054 0.51
4 310.538 0.48
4 311.036 0.49
4 311.533 0.5
4 312.063 0.53
4 312.552 0.49
4 313.039 0.49
4 313.535 0.5
4 314.046 0.51
4 314.54 0.49
4 315.063 0.52
4 315.534 0.47
4 316.07 0.54
4 316.551 0.48
4 317.054 0.5
4 317.542 0.49
4 318.049 0.51
4 318.538 0.49
4 319.044 0.51
4 319.541 0.49
4 320.033 0.49
4 320.586 0.55
4 321.05 0.46
4 321.55 0.5
4 322.069 0.51
4 322.546 0.47
4 323.051 0.5
4 323.544 0.49
4 324.049 0.5
4 324.572 0.52
4 325.045 0.47
4 325.54 0.49
4 326.058 0.52
4 326.578 0.52
4 327.037 0.46
4 327.565 0.53
4 328.075 0.51
4 328.538 0.46
4 329.049 0.5
4 329.576 0.53
4 330.039 0.46
4 330.587 0.53
4 331.05 0.46
4 331.555 0.5
4 332.064 0.51
4 332.54 0.48
4 333.038 0.5
4 333.579 0.54
4 334.051 0.47
4 334.569 0.52
4 335.046 0.47
4 335.548 0.5
4 336.039 0.49
4 336.549 0.51
4 337.049 0.5
4 337.543 0.49
4 338.055 0.51
4 338.543 0.49
4 339.08 0.54
4 339.537 0.46
4 340.048 0.51
4 340.555 0.5
4 341.038 0.48
4 341.546 0.51
4 342.083 0.54
4 342.538 0.45
4 343.042 0.5
4 343.559 0.52
4 344.053 0.49
4 344.541 0.49
4 345.059 0.51
4 345.544 0.48
4 346.049 0.5
4 346.582 0.53
4 347.042 0.45
4 347.545 0.5
4 348.065 0.52
4 348.548 0.48
4 349.042 0.48
4 349.58 0.54
4 350.057 0.48
4 350.549 0.49
4 351.086 0.54
4 351.542 0.46
4 352.044 0.49
4 352.582 0.54
4 353.044 0.46
4 353.544 0.5
4 354.049 0.5
4 354.55 0.5
4 355.054 0.5
4 355.546 0.49
4 356.07 0.52
4 356.566 0.48
4 357.042 0.48
4 357.56 0.52
