ID TIME pos
14 252.402 [-0.17707999999999996, -0.42652333333333337] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [-0.1934499999999999, -0.40517000000000003], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.14304000000000006, -0.40764], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 257.409 [-0.17707999999999996, -0.42652333333333337] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [-0.1934499999999999, -0.40517000000000003], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.14304000000000006, -0.40764], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 262.417 [-0.17707999999999996, -0.42652333333333337] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [-0.1934499999999999, -0.40517000000000003], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.14304000000000006, -0.40764], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 267.426 [-0.17346671874999997, -0.41544114583333336] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [0, 0], [-0.1934499999999999, -0.40517000000000003], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.16677000000000008, -0.4205700000000001], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 272.434 [-0.17005972668749997, -0.41616399245833335] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [-0.1856, -0.4286000000000001], [-0.1934499999999999, -0.40517000000000003], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.17745999999999995, -0.42005000000000003], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 277.441 [-0.16978603191254, -0.4160011212775867] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [-0.18612000000000006, -0.42323], [-0.1934499999999999, -0.40517000000000003], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.17745999999999995, -0.42005000000000003], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 282.45 [-0.169738456330212, -0.41602170275880884] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [-0.18586999999999998, -0.4233800000000001], [-0.1934499999999999, -0.40517000000000003], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.17745999999999995, -0.42005000000000003], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 287.457 [-0.16973500110602563, -0.41602249974488287] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [-0.18585999999999991, -0.4233800000000001], [-0.1934499999999999, -0.40517000000000003], [0, 0], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.17745999999999995, -0.42005000000000003], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 292.465 [-0.17211013888913465, -0.41794895833327667] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [-0.18585999999999991, -0.4233800000000001], [-0.1934499999999999, -0.40517000000000003], [-0.18195000000000006, -0.4259299999999999], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.6080300000000001, -0.46950000000000003], [-0.17745999999999995, -0.42005000000000003], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 297.473 [-0.17216299127300527, -0.41801343736604074] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [-0.18585999999999991, -0.4233800000000001], [-0.1934499999999999, -0.40517000000000003], [-0.18186999999999998, -0.42598], [-0.16059, -0.42005000000000003], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.24343000000000004, -0.43069], [-0.17745999999999995, -0.42005000000000003], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 302.481 [-0.178825652390853, -0.4239399978700316] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [-0.18585999999999991, -0.4233800000000001], [-0.1934499999999999, -0.40517000000000003], [-0.18162999999999996, -0.4238200000000001], [-0.16199999999999992, -0.42490000000000006], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.1824300000000001, -0.42404], [-0.18220999999999998, -0.42358000000000007], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 307.489 [-0.17882000201291035, -0.4239419997425245] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [-0.18585999999999991, -0.4233800000000001], [-0.1934499999999999, -0.40517000000000003], [-0.18162999999999996, -0.4238200000000001], [-0.16199999999999992, -0.42490000000000006], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.1824300000000001, -0.42404], [-0.18218, -0.42357], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 312.497 [-0.18222333333359217, -0.4237000555555224] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [-0.18585999999999991, -0.4233800000000001], [-0.1934499999999999, -0.40517000000000003], [-0.18162999999999996, -0.4238200000000001], [-0.17975999999999992, -0.4237200000000001], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.1824300000000001, -0.42404], [-0.18219999999999992, -0.42355999999999994], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 317.704 [-0.18010446159122084, -0.42340455504829677] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [-0.18585999999999991, -0.4233800000000001], [-0.1934499999999999, -0.40517000000000003], [-0.18162999999999996, -0.4238200000000001], [-0.17975999999999992, -0.4237200000000001], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.17046000000000006, -0.4225000000000001], [-0.18247999999999998, -0.42355999999999994], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 322.711 [-0.17997923539886715, -0.423397991840927] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [-0.18585999999999991, -0.4233800000000001], [-0.1934499999999999, -0.40517000000000003], [-0.18162999999999996, -0.4238200000000001], [-0.17975999999999992, -0.4237200000000001], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.17046000000000006, -0.4225000000000001], [-0.18218, -0.42357], [0, 0], [-0.04259999999999997, -0.54678], [-0.23570000000000002, -0.4026400000000001], [0, 0], [0, 0], [0, 0]]
14 327.719 [-0.18180819356431238, -0.4240754618903933] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [-0.18585999999999991, -0.4233800000000001], [-0.1934499999999999, -0.40517000000000003], [-0.18162999999999996, -0.4238200000000001], [-0.17975999999999992, -0.4237200000000001], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.17046000000000006, -0.4225000000000001], [-0.18219000000000007, -0.42357], [0, 0], [-0.1780299999999999, -0.4261299999999999], [-0.23570000000000002, -0.4026400000000001], [-0.1842999999999999, -0.42423999999999995], [0, 0], [0, 0]]
14 332.727 [-0.18121790443666014, -0.42441588627286303] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [-0.18585999999999991, -0.4233800000000001], [-0.1934499999999999, -0.40517000000000003], [-0.18162999999999996, -0.4238200000000001], [-0.17975999999999992, -0.4237200000000001], [-0.17720000000000002, -0.45435000000000003], [-0.15503, -0.4006099999999999], [-0.17046000000000006, -0.4225000000000001], [-0.18219000000000007, -0.42357], [0, 0], [-0.1780299999999999, -0.4261299999999999], [-0.23570000000000002, -0.4026400000000001], [-0.18280000000000007, -0.42421], [0, 0], [-0.17816999999999994, -0.42611]]
14 337.735 [-0.1809248244599743, -0.424593046749459] [-0.2609339429503498, -0.43107632454654793] [[0, 0], [-0.18219000000000007, -0.4242600000000001], [-0.1934499999999999, -0.40517000000000003], [-0.18162999999999996, -0.4238200000000001], [-0.17975999999999992, -0.4237200000000001], [-0.17720000000000002, -0.45435000000000003], [-0.17948000000000008, -0.42647999999999997], [-0.17046000000000006, -0.4225000000000001], [-0.18219000000000007, -0.42357], [0, 0], [-0.1780299999999999, -0.4261299999999999], [-0.23570000000000002, -0.4026400000000001], [-0.18276000000000003, -0.42415], [0, 0], [-0.17859000000000003, -0.42616999999999994]]
