ID TIME pos
1 1.205 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
1 121.497 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3382100000000001, -0.6014999999999999], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 126.505 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3382100000000001, -0.6014999999999999], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 131.514 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3382100000000001, -0.6014999999999999], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 136.522 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3382100000000001, -0.6014999999999999], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 141.531 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3382100000000001, -0.6014999999999999], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 146.539 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3382100000000001, -0.6014999999999999], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 151.547 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3382100000000001, -0.6014999999999999], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 156.555 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3382100000000001, -0.6014999999999999], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 161.563 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3382100000000001, -0.6014999999999999], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
1 166.571 [0.44358891673895, -0.3970037890067888] [0.4059002652647588, -0.4143528873873147] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.3382100000000001, -0.6014999999999999], [0, 0], [0, 0], [-0.42264999999999997, -0.38053000000000003]]
