ID TIME pos
15 1.215 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
15 157.04 [0.2333800004579749, 0.32350999945311143] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.37764, 0.32765999999999984], [0.2675299999999998, 0.3947099999999999], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.2697099999999999, 0.34059000000000017], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 162.048 [0.2333800000018846, 0.3235099999977494] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.37764, 0.32765999999999984], [0.2675299999999998, 0.3947099999999999], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.2697099999999999, 0.34059000000000017], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 167.256 [0.2333800000000077, 0.3235099999999907] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.37764, 0.32765999999999984], [0.2675299999999998, 0.3947099999999999], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.2697099999999999, 0.34059000000000017], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 172.263 [0.23337999999999995, 0.3235099999999999] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.35592999999999986, 0.3507699999999998], [0.2675299999999998, 0.3947099999999999], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.2697099999999999, 0.34059000000000017], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 177.369 [0.23337999999999992, 0.32350999999999996] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.35591000000000017, 0.3508], [0.2675299999999998, 0.3947099999999999], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.2697099999999999, 0.34059000000000017], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 182.377 [0.23337999999999992, 0.32350999999999996] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.35591000000000017, 0.3508], [0.2675299999999998, 0.3947099999999999], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.2697099999999999, 0.34059000000000017], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 187.384 [0.23337999999999992, 0.32350999999999996] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.35591000000000017, 0.3508], [0.2675299999999998, 0.3947099999999999], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.2697099999999999, 0.34059000000000017], [0.23148999999999997, 0.32409], [0, 0], [0, 0], [0, 0], [0, 0]]
15 192.393 [0.23375459960937497, 0.323459462890625] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.35591000000000017, 0.3508], [0.2675299999999998, 0.3947099999999999], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.23423000000000016, 0.32322000000000006], [0.23148999999999997, 0.32409], [0, 0], [0.24350000000000005, 0.32714], [0, 0], [0, 0]]
15 197.401 [0.233483227148056, 0.32332164010047915] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.35591000000000017, 0.3508], [0.2675299999999998, 0.3947099999999999], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.2336800000000001, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.24189999999999978, 0.3258000000000001], [0, 0], [0, 0]]
15 202.408 [0.23347667307338674, 0.32332000160166063] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.2701600000000002, 0.34098000000000006], [0.2675299999999998, 0.3947099999999999], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.2418300000000002, 0.3257300000000001], [0, 0], [0, 0]]
15 207.416 [0.2334766666729232, 0.32332000000156413] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.2701600000000002, 0.34098000000000006], [0.2675299999999998, 0.3947099999999999], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.2418300000000002, 0.3257300000000001], [0, 0], [0, 0]]
15 212.424 [0.23347666666667274, 0.3233200000000015] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.2701600000000002, 0.34098000000000006], [0.26248000000000005, 0.33494], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.2418300000000002, 0.3257300000000001], [0, 0], [0, 0]]
15 217.432 [0.23347666666666664, 0.32332] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.2701600000000002, 0.34098000000000006], [0.26248000000000005, 0.33494], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.2418300000000002, 0.3257300000000001], [0, 0], [0, 0]]
15 222.44 [0.23347666666666664, 0.32332] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.2701600000000002, 0.34098000000000006], [0.2573099999999999, 0.33263], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.2418300000000002, 0.3257300000000001], [0, 0], [0, 0]]
15 227.547 [0.23347666666666664, 0.32332] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.2701500000000001, 0.34098000000000006], [0.2573099999999999, 0.33263], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.2418300000000002, 0.3257300000000001], [0, 0], [0, 0]]
15 232.555 [0.23347666666666664, 0.32332] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.2701500000000001, 0.34098000000000006], [0.2573099999999999, 0.33263], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.2418300000000002, 0.3257300000000001], [0, 0], [0, 0]]
