ID TIME pos
8 1.209 [0, 0] [0.42747058744751465, -0.28223630431141145] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
8 111.574 [0, 0] [0.42747058744751465, -0.28223630431141145] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18698000000000015, -0.23194000000000004], [0.6065900000000002, -0.5606599999999999], [0, 0], [0, 0], [0, 0], [-0.42829000000000006, 0.31325000000000003], [0.4328599999999998, 0.3744900000000002]]
8 116.583 [0, 0] [0.42747058744751465, -0.28223630431141145] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18698000000000015, -0.23194000000000004], [0.6065900000000002, -0.5606599999999999], [0, 0], [0, 0], [0, 0], [-0.42829000000000006, 0.31325000000000003], [0.4328599999999998, 0.3744900000000002]]
8 121.589 [0, 0] [0.42747058744751465, -0.28223630431141145] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18698000000000015, -0.23194000000000004], [0.6065900000000002, -0.5606599999999999], [0, 0], [0, 0], [0, 0], [-0.42829000000000006, 0.31325000000000003], [0.4328599999999998, 0.3744900000000002]]
8 126.598 [0, 0] [0.42747058744751465, -0.28223630431141145] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18698000000000015, -0.23194000000000004], [0.6065900000000002, -0.5606599999999999], [0, 0], [0, 0], [0, 0], [-0.42829000000000006, 0.31325000000000003], [0.4328599999999998, 0.3744900000000002]]
8 131.605 [0.23925314795621083, -0.40570341317910796] [0.42747058744751465, -0.28223630431141145] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18698000000000015, -0.23194000000000004], [0.6065900000000002, -0.5606599999999999], [0, 0], [0, 0], [0, 0], [-0.42829000000000006, 0.31325000000000003], [0.4328599999999998, 0.3744900000000002]]
8 136.612 [0.23925314795621083, -0.40570341317910796] [0.42747058744751465, -0.28223630431141145] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18698000000000015, -0.23194000000000004], [0.6065900000000002, -0.5606599999999999], [0, 0], [0, 0], [0, 0], [-0.42829000000000006, 0.31325000000000003], [0.4328599999999998, 0.3744900000000002]]
8 141.619 [0.23925314795621083, -0.40570341317910796] [0.42747058744751465, -0.28223630431141145] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18698000000000015, -0.23194000000000004], [0.6065900000000002, -0.5606599999999999], [0, 0], [0, 0], [0, 0], [-0.42829000000000006, 0.31325000000000003], [0.4328599999999998, 0.3744900000000002]]
8 146.627 [0.23925314795621083, -0.40570341317910796] [0.42747058744751465, -0.28223630431141145] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18698000000000015, -0.23194000000000004], [0.6065900000000002, -0.5606599999999999], [0, 0], [0, 0], [0, 0], [-0.42829000000000006, 0.31325000000000003], [0.4328599999999998, 0.3744900000000002]]
8 151.634 [0.23925314795621083, -0.40570341317910796] [0.42747058744751465, -0.28223630431141145] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18698000000000015, -0.23194000000000004], [0.6065900000000002, -0.5606599999999999], [0, 0], [0, 0], [0, 0], [-0.42829000000000006, 0.31325000000000003], [0.4328599999999998, 0.3744900000000002]]
8 156.642 [0.23925314795621083, -0.40570341317910796] [0.42747058744751465, -0.28223630431141145] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.18698000000000015, -0.23194000000000004], [0.6065900000000002, -0.5606599999999999], [0, 0], [0, 0], [0, 0], [-0.42829000000000006, 0.31325000000000003], [0.4328599999999998, 0.3744900000000002]]
