ID TIME pos
13 396.012 [0.43219633618855186, 0.38019092842739727] [0.445992151382498, 0.4043407707571747]
13 401.016 [0.4321970028552185, 0.380191595094064] [0.445992151382498, 0.4043407707571747]
13 406.022 [0.4322136695218852, 0.3801089284273973] [0.445992151382498, 0.4043407707571747]
13 411.029 [0.43221566952188517, 0.38010826176073065] [0.445992151382498, 0.4043407707571747]
13 416.035 [0.43221566952188517, 0.38010826176073065] [0.445992151382498, 0.4043407707571747]
13 421.041 [0.4325350028552185, 0.37964892842739734] [0.445992151382498, 0.4043407707571747]
13 426.055 [0.4325370028552185, 0.37964892842739745] [0.445992151382498, 0.4043407707571747]
13 431.057 [0.4325370028552185, 0.37964892842739745] [0.445992151382498, 0.4043407707571747]
13 436.069 [0.4325370028552185, 0.37964892842739745] [0.445992151382498, 0.4043407707571747]
13 441.072 [0.4325370028552185, 0.37964892842739745] [0.445992151382498, 0.4043407707571747]
13 446.076 [0.43236566952188515, 0.3793282617607307] [0.445992151382498, 0.4043407707571747]
13 451.083 [0.43236700285521856, 0.3793269284273974] [0.445992151382498, 0.4043407707571747]
13 456.094 [0.4326703361885518, 0.3792295950940641] [0.445992151382498, 0.4043407707571747]
13 461.095 [0.43263900285521845, 0.37916092842739746] [0.445992151382498, 0.4043407707571747]
13 466.104 [0.43208633618855186, 0.3791642617607308] [0.445992151382498, 0.4043407707571747]
13 471.111 [0.43220500285521857, 0.3791335950940641] [0.445992151382498, 0.4043407707571747]
13 476.117 [0.43220500285521857, 0.3791335950940641] [0.445992151382498, 0.4043407707571747]
13 481.125 [0.4322043361885519, 0.3791335950940641] [0.445992151382498, 0.4043407707571747]
13 486.128 [0.4322043361885519, 0.3791335950940641] [0.445992151382498, 0.4043407707571747]
13 491.136 [0.43221966952188523, 0.3791302617607307] [0.445992151382498, 0.4043407707571747]
13 496.148 [0.43221966952188523, 0.3791302617607307] [0.445992151382498, 0.4043407707571747]
13 501.148 [0.43221966952188523, 0.3791302617607307] [0.445992151382498, 0.4043407707571747]
13 506.163 [0.43221966952188523, 0.3791302617607307] [0.445992151382498, 0.4043407707571747]
