ID TIME pos
2 1.206 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
2 91.341 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 96.349 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 101.456 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 106.464 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 111.472 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 116.48 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 121.487 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 126.495 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 131.503 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 136.509 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
