[4 INFO main 29] Initialising Python Geth Console...
[4 INFO main 33] Initialising RandB board...
[4 INFO main 33] Initialising navigation...
[4 INFO main 33] Initialising random-walk...
[4 INFO main 33] Initialising odometry...
[4 INFO main 33] Initialising ground-sensors...
[4 INFO main 964] --//-- Starting Experiment --//--
[4 INFO main 2065] Idle.IDLE -> Scout.Query | Duration: 23.42
[4 INFO main 143042] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 143946] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 144146] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 144948] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 145147] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 146049] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 146348] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 147050] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 147149] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 148052] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 148450] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 149053] Scout.Query -> Scout.GotoCenter | Drive to others reported pos
[4 INFO main 149152] Scout.GotoCenter -> Scout.Query | return to random walk
[4 INFO main 149153] Scout.Query -> Scout.Query | return to random walk
