ID TIME pos
1 1.204 [0, 0] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
1 151.435 [0.45683247888889317, -0.28998856999999933] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0.4607000000000001, -0.32552000000000003], [0.47669000000000006, -0.2344599999999999], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.4331499999999999, -0.30569], [0.6166499999999999, -0.13049], [0, 0], [0, 0], [0, 0]]
1 156.441 [0.4550097616247889, -0.2920324124857] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0.4595699999999998, -0.2837099999999999], [0.4575100000000001, -0.29671000000000003], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.43644000000000016, -0.3028900000000001], [0.6166499999999999, -0.13049], [0, 0], [0, 0], [0, 0]]
1 161.45 [0.4555315298976163, -0.2915971047241249] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0.4605999999999999, -0.28153000000000006], [0.4575100000000001, -0.29617000000000004], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0, 0], [0, 0], [0, 0]]
1 166.457 [0.45553222221529904, -0.29159555557104727] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0.4605999999999999, -0.28153000000000006], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0, 0], [0, 0], [0, 0]]
1 171.465 [0.4555322222222222, -0.2915955555555557] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0.4605999999999999, -0.28153000000000006], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0, 0], [0, 0], [0, 0]]
1 176.472 [0.4954729693630521, -0.3150883362551131] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0.4605999999999999, -0.28153000000000006], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0, 0], [0, 0]]
1 181.48 [0.4955029998135334, -0.31510599989032206] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0.4605999999999999, -0.28153000000000006], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0, 0], [0, 0]]
1 186.488 [0.48885941131365657, -0.315959049768518] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4224199999999998, -0.32448999999999995], [0.4605999999999999, -0.28153000000000006], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0, 0], [0, 0]]
1 191.496 [0.4888590909103785, -0.3159590909089256] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4224199999999998, -0.32448999999999995], [0.4605999999999999, -0.28153000000000006], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0, 0], [0, 0]]
1 196.503 [0.48885909090909085, -0.3159590909090909] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4224199999999998, -0.32448999999999995], [0.4605999999999999, -0.28153000000000006], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0, 0], [0, 0]]
1 201.511 [0.48885909090909085, -0.3159590909090909] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4224199999999998, -0.32448999999999995], [0.4605999999999999, -0.28153000000000006], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0, 0], [0, 0]]
1 206.519 [0.48885909090909085, -0.3159590909090909] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4224199999999998, -0.32448999999999995], [0.4605999999999999, -0.28153000000000006], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0, 0], [0, 0]]
