ID TIME pos
13 0.095 [0, 0] [0.02365726219371922, -0.28167731602668533]
13 145.488 [-0.07311454545454545, -0.18172636363636363] [0.02365726219371922, -0.28167731602668533]
13 150.494 [-0.07301083333333332, -0.1820275] [0.02365726219371922, -0.28167731602668533]
13 155.5 [-0.07280500000000001, -0.18221333333333334] [0.02365726219371922, -0.28167731602668533]
13 160.502 [-0.0738, -0.18108538461538465] [0.02365726219371922, -0.28167731602668533]
13 165.506 [-0.09628400742651262, -0.21108484355723064] [0.02365726219371922, -0.28167731602668533]
13 170.515 [-0.09596329314079835, -0.212110557842945] [0.02365726219371922, -0.28167731602668533]
13 175.525 [-0.09595900742651263, -0.2121191292715164] [0.02365726219371922, -0.28167731602668533]
13 180.53 [-0.09596257885508407, -0.21232341498580215] [0.02365726219371922, -0.28167731602668533]
13 185.541 [-0.09548686456936976, -0.21234198641437357] [0.02365726219371922, -0.28167731602668533]
13 190.64 [-0.0954804359979412, -0.21234198641437357] [0.02365726219371922, -0.28167731602668533]
13 195.647 [-0.09519400742651263, -0.2122777007000878] [0.02365726219371922, -0.28167731602668533]
13 200.651 [-0.09519400742651263, -0.2122777007000878] [0.02365726219371922, -0.28167731602668533]
13 205.657 [-0.09520115028365549, -0.21231984355723071] [0.02365726219371922, -0.28167731602668533]
13 210.669 [-0.09404174026474511, -0.21177785398674864] [0.02365726219371922, -0.28167731602668533]
13 215.672 [-0.09176840693141178, -0.212381187320082] [0.02365726219371922, -0.28167731602668533]
13 220.779 [-0.09171440693141178, -0.21243452065341534] [0.02365726219371922, -0.28167731602668533]
13 225.792 [-0.09171374026474513, -0.21243585398674866] [0.02365726219371922, -0.28167731602668533]
13 230.793 [-0.09170840693141179, -0.212459187320082] [0.02365726219371922, -0.28167731602668533]
13 235.802 [-0.09170840693141179, -0.212459187320082] [0.02365726219371922, -0.28167731602668533]
13 240.804 [-0.09170840693141179, -0.212459187320082] [0.02365726219371922, -0.28167731602668533]
13 245.814 [-0.09137640693141179, -0.2125678539867487] [0.02365726219371922, -0.28167731602668533]
13 250.824 [-0.09137507359807846, -0.21256852065341533] [0.02365726219371922, -0.28167731602668533]
13 255.83 [-0.09128907359807846, -0.21263852065341535] [0.02365726219371922, -0.28167731602668533]
13 260.834 [-0.09128307359807845, -0.21264252065341532] [0.02365726219371922, -0.28167731602668533]
13 265.846 [-0.09128307359807845, -0.21264252065341532] [0.02365726219371922, -0.28167731602668533]
13 270.849 [-0.09128307359807845, -0.21264252065341532] [0.02365726219371922, -0.28167731602668533]
13 275.849 [-0.09128307359807845, -0.21264252065341532] [0.02365726219371922, -0.28167731602668533]
13 280.86 [-0.09128307359807845, -0.21264252065341532] [0.02365726219371922, -0.28167731602668533]
13 285.863 [-0.09090240693141179, -0.21286785398674865] [0.02365726219371922, -0.28167731602668533]
13 290.869 [-0.09090240693141179, -0.21286785398674865] [0.02365726219371922, -0.28167731602668533]
13 295.883 [-0.09090240693141179, -0.21286785398674865] [0.02365726219371922, -0.28167731602668533]
13 300.886 [-0.09090240693141179, -0.21286785398674865] [0.02365726219371922, -0.28167731602668533]
13 305.894 [-0.09004707359807845, -0.213861187320082] [0.02365726219371922, -0.28167731602668533]
13 310.896 [-0.08994707359807846, -0.21399185398674866] [0.02365726219371922, -0.28167731602668533]
13 315.897 [-0.08994574026474512, -0.21399318732008202] [0.02365726219371922, -0.28167731602668533]
13 320.91 [-0.08932640693141178, -0.21539252065341533] [0.02365726219371922, -0.28167731602668533]
13 325.917 [-0.08940507359807844, -0.21567585398674868] [0.02365726219371922, -0.28167731602668533]
13 330.924 [-0.0893997402647451, -0.2157245206534153] [0.02365726219371922, -0.28167731602668533]
13 335.93 [-0.08956507359807846, -0.21577318732008202] [0.02365726219371922, -0.28167731602668533]
13 340.937 [-0.08950774026474512, -0.21594252065341532] [0.02365726219371922, -0.28167731602668533]
13 345.943 [-0.08949774026474512, -0.2159538539867487] [0.02365726219371922, -0.28167731602668533]
