ID TIME pos
13 1.214 [0, 0] [0.44579416782693865, 0.22931574734067084] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
13 182.184 [0, 0] [0.44579416782693865, 0.22931574734067084] [[0, 0], [0.4349400000000001, 0.17745999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
13 187.192 [0, 0] [0.44579416782693865, 0.22931574734067084] [[0, 0], [0.4349400000000001, 0.17745999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
13 192.199 [0, 0] [0.44579416782693865, 0.22931574734067084] [[0, 0], [0.4349400000000001, 0.17745999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
13 197.206 [0, 0] [0.44579416782693865, 0.22931574734067084] [[0, 0], [0.4349400000000001, 0.17745999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.5158800000000001, 0.25107999999999997], [0, 0], [0, 0], [0, 0], [0, 0]]
13 202.213 [0.6959984704424933, 0.2690228552857223] [0.44579416782693865, 0.22931574734067084] [[0.4634100000000001, 0.24068999999999985], [0.4349400000000001, 0.17745999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.51667, 0.2505600000000001], [0, 0], [0, 0], [0, 0], [0, 0]]
13 207.22 [0.6959984704424933, 0.2690228552857223] [0.44579416782693865, 0.22931574734067084] [[0.5252699999999999, 0.21343999999999985], [0.4349400000000001, 0.17745999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.51667, 0.2505600000000001], [0, 0], [0, 0], [0, 0], [0, 0]]
13 212.227 [0.6959984704424933, 0.2690228552857223] [0.44579416782693865, 0.22931574734067084] [[0.5252699999999999, 0.21343999999999985], [0.4349400000000001, 0.17745999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.51667, 0.2505600000000001], [0, 0], [0, 0], [0, 0], [0, 0]]
13 217.236 [0.6959984704424933, 0.2690228552857223] [0.44579416782693865, 0.22931574734067084] [[0.5252699999999999, 0.21343999999999985], [0.4349400000000001, 0.17745999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.51667, 0.2505600000000001], [0, 0], [0, 0], [0, 0], [0, 0]]
13 222.244 [0.6959984704424933, 0.2690228552857223] [0.44579416782693865, 0.22931574734067084] [[0.5252699999999999, 0.21343999999999985], [0.4349400000000001, 0.17745999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.51667, 0.2505600000000001], [0, 0], [0, 0], [0, 0], [0, 0]]
13 227.251 [0.6959984704424933, 0.2690228552857223] [0.44579416782693865, 0.22931574734067084] [[0.5088400000000002, 0.22472000000000003], [0.4349400000000001, 0.17745999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.51667, 0.2505600000000001], [0, 0], [0, 0], [0, 0], [0, 0]]
13 232.259 [0.6959984704424933, 0.2690228552857223] [0.44579416782693865, 0.22931574734067084] [[0.5083500000000001, 0.2256999999999998], [0.4349400000000001, 0.17745999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.51667, 0.2505600000000001], [0, 0], [0, 0], [0, 0], [0, 0]]
13 237.267 [0.6959984704424933, 0.2690228552857223] [0.44579416782693865, 0.22931574734067084] [[0.5083500000000001, 0.2256999999999998], [0.4349400000000001, 0.17745999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.52136, 0.23060999999999998], [0, 0], [0, 0], [0, 0], [0, 0]]
13 242.276 [0.49787748179918245, 0.18611066523344721] [0.44579416782693865, 0.22931574734067084] [[0.5083500000000001, 0.2256999999999998], [0.4349400000000001, 0.17745999999999995], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.5213700000000001, 0.23057000000000016], [0, 0], [0, 0], [0, 0], [0.5011399999999999, 0.19630999999999998]]
13 247.385 [0.4978562469665304, 0.18610177753890786] [0.44579416782693865, 0.22931574734067084] [[0.5069699999999999, 0.2115100000000001], [0.4349400000000001, 0.17745999999999995], [0, 0], [0.49890999999999996, 0.13870000000000005], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50936, 0.22013999999999978], [0, 0], [0, 0], [0, 0], [0.50299, 0.20025000000000004]]
13 252.393 [0.4978562469665304, 0.18610177753890786] [0.44579416782693865, 0.22931574734067084] [[0.5032100000000002, 0.20238999999999985], [0.4349400000000001, 0.17745999999999995], [0, 0], [0.5106000000000002, 0.14326000000000016], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50894, 0.21936], [0, 0], [0, 0], [0, 0], [0.50299, 0.20025000000000004]]
13 257.401 [0.4978562469665304, 0.18610177753890786] [0.44579416782693865, 0.22931574734067084] [[0.5025499999999998, 0.20045000000000002], [0.4349400000000001, 0.17745999999999995], [0, 0], [0.51065, 0.1432699999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50894, 0.21936], [0, 0], [0, 0], [0, 0], [0.50299, 0.20025000000000004]]
13 262.409 [0.4978562469665304, 0.18610177753890786] [0.44579416782693865, 0.22931574734067084] [[0.5021499999999999, 0.19932000000000016], [0.4349400000000001, 0.17745999999999995], [0, 0], [0.51065, 0.1432699999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50894, 0.21936], [0, 0], [0, 0], [0, 0], [0.50299, 0.20025000000000004]]
13 267.417 [0.4978562469665304, 0.18610177753890786] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.1988500000000002], [0.4349400000000001, 0.17745999999999995], [0, 0], [0.51065, 0.1432699999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50894, 0.21936], [0, 0], [0, 0], [0, 0], [0.49993, 0.1924999999999999]]
13 272.424 [0.4978562469665304, 0.18610177753890786] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0, 0], [0.51065, 0.1432699999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50894, 0.21936], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 277.431 [0.4978562469665304, 0.18610177753890786] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0, 0], [0.51065, 0.1432699999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50894, 0.21936], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 282.439 [0.4978562469665304, 0.18610177753890786] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0, 0], [0.51065, 0.1432699999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50894, 0.21936], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 287.445 [0.4978562469665304, 0.18610177753890786] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0, 0], [0.51065, 0.1432699999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50894, 0.21936], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 292.454 [0.4978562469665304, 0.18610177753890786] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0, 0], [0.51065, 0.1432699999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50894, 0.21936], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 297.462 [0.4978562469665304, 0.18610177753890786] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0, 0], [0.51065, 0.1432699999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50894, 0.21936], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 302.47 [0.4978562469665304, 0.18610177753890786] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0, 0], [0.51065, 0.1432699999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50894, 0.21936], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
