ID TIME pos
3 166.485 [0, 0] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0, 0], [0, 0], [0, 0], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 171.494 [0, 0] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0, 0], [0, 0], [0, 0], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 176.503 [0.2233708166970776, 0.4385788843940509] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0, 0], [0, 0], [0.32487999999999984, 0.4519899999999999], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 181.512 [0.2233708166970776, 0.4385788843940509] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0, 0], [0, 0], [0.32487999999999984, 0.4519899999999999], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0, 0], [0.18061999999999978, 0.3446799999999999], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 186.521 [0.2233708166970776, 0.4385788843940509] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0, 0], [0, 0], [0.32487999999999984, 0.4519899999999999], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0, 0], [0.18062999999999985, 0.34457000000000004], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 191.529 [0.17617510208713466, 0.3214673605492563] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.32487999999999984, 0.4519899999999999], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0, 0], [0.18062999999999985, 0.34457000000000004], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 196.538 [0.16943306289984392, 0.30473765342286824] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.32487999999999984, 0.4519899999999999], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0, 0], [0.18062999999999985, 0.34457000000000004], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 201.546 [0.18853253968812117, 0.34327301588686576] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.32487999999999984, 0.4519899999999999], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0, 0], [0.18062999999999985, 0.34457000000000004], [0, 0], [0, 0], [0, 0], [0, 0], [0.34133000000000013, 0.6515599999999999], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 206.556 [0.19091995956814997, 0.348089918423951] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.32487999999999984, 0.4519899999999999], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0, 0], [0.18062999999999985, 0.34457000000000004], [0, 0], [0, 0], [0, 0], [0, 0], [0.34133000000000013, 0.6515599999999999], [0, 0], [-0.44670999999999994, -0.3792199999999999]]
3 211.564 [0.18831458999950082, 0.3453415499989928] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.32487999999999984, 0.4519899999999999], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0, 0], [0.18062999999999985, 0.34457000000000004], [0, 0], [0, 0], [0, 0], [0, 0], [0.34133000000000013, 0.6515599999999999], [0.16591999999999985, 0.32308000000000003], [-0.44670999999999994, -0.3792199999999999]]
