ID TIME FPS
10 25.202 0.1
10 25.299 0.1
10 25.406 0.11
10 25.498 0.09
10 25.6 0.1
10 25.699 0.1
10 25.798 0.1
10 25.898 0.1
10 26.005 0.11
10 26.101 0.1
10 26.204 0.1
10 26.299 0.09
10 26.398 0.1
10 26.504 0.11
10 26.598 0.09
10 26.698 0.1
10 26.805 0.11
10 26.899 0.09
10 27.0 0.1
10 27.098 0.1
10 27.2 0.1
10 27.299 0.1
10 27.398 0.1
10 27.505 0.11
10 27.607 0.1
10 27.698 0.09
10 27.798 0.1
10 27.905 0.11
10 28.004 0.1
10 28.098 0.09
10 28.198 0.1
10 28.306 0.11
10 28.406 0.1
10 28.498 0.09
10 28.599 0.1
10 28.699 0.1
10 28.798 0.1
10 28.902 0.1
10 28.998 0.1
10 29.099 0.1
10 29.204 0.11
10 29.298 0.09
10 29.404 0.11
10 29.498 0.09
10 29.599 0.1
10 29.706 0.11
10 29.798 0.09
10 29.899 0.1
10 30.006 0.11
10 30.098 0.09
10 30.199 0.1
10 30.298 0.1
10 30.4 0.1
10 30.499 0.1
10 30.607 0.11
10 30.698 0.09
10 30.798 0.1
10 30.907 0.11
10 30.998 0.09
10 31.098 0.1
10 31.206 0.11
10 31.299 0.09
10 31.398 0.1
10 31.499 0.1
10 31.6 0.1
10 31.706 0.11
10 31.798 0.09
10 31.903 0.1
