ID TIME FPS
5 905.063 0.95
5 906.119 1.06
5 907.057 0.94
5 908.113 1.06
5 909.075 0.96
5 910.074 1.0
5 911.059 0.98
5 912.096 1.04
5 913.114 1.02
5 914.056 0.94
5 915.11 1.05
5 916.079 0.97
5 917.105 1.03
5 918.061 0.96
5 919.069 1.01
5 920.114 1.04
5 921.062 0.95
5 922.116 1.05
5 923.074 0.96
5 924.123 1.05
5 925.087 0.96
5 926.068 0.98
5 927.112 1.04
5 928.083 0.97
5 929.099 1.02
5 930.081 0.98
5 931.11 1.02
5 932.106 1.0
5 933.066 0.96
5 934.105 1.04
5 935.082 0.98
5 936.118 1.03
5 937.066 0.95
5 938.11 1.04
5 939.124 1.01
5 940.089 0.96
5 941.091 1.0
5 942.098 1.01
5 943.097 0.99
5 944.106 1.01
5 945.066 0.95
5 946.108 1.04
5 947.083 0.97
5 948.117 1.03
5 949.071 0.95
5 950.115 1.04
5 951.088 0.97
5 952.076 0.98
5 953.126 1.05
5 954.095 0.97
5 955.11 1.01
5 956.069 0.96
5 957.103 1.03
5 958.096 0.99
5 959.07 0.97
5 960.102 1.03
5 961.106 1.0
5 962.062 0.96
5 963.078 1.02
5 964.07 0.99
5 965.095 1.03
5 966.064 0.97
5 967.105 1.04
5 968.103 1.0
5 969.09 0.99
5 970.133 1.04
5 971.072 0.94
5 972.117 1.04
5 973.098 0.98
5 974.114 1.01
5 975.07 0.95
5 976.101 1.03
5 977.096 0.99
5 978.066 0.97
5 979.103 1.04
5 980.097 0.99
5 981.082 0.98
5 982.074 0.99
5 983.07 1.0
5 984.079 1.01
5 985.107 1.03
5 986.1 0.99
5 987.109 1.01
5 988.139 1.03
5 989.102 0.96
5 990.075 0.96
5 991.141 1.07
5 992.091 0.95
5 993.112 1.02
5 994.068 0.95
5 995.118 1.05
5 996.099 0.98
5 997.084 0.98
5 998.076 0.99
5 999.107 1.03
5 1000.118 1.01
5 1001.081 0.96
5 1002.076 1.0
5 1003.102 1.03
5 1004.091 0.99
5 1005.099 1.0
5 1006.089 0.99
5 1007.102 1.01
5 1008.09 0.99
5 1009.071 0.98
5 1010.114 1.04
5 1011.078 0.96
5 1012.081 1.0
5 1013.069 0.99
5 1014.085 1.02
5 1015.087 1.0
5 1016.077 0.99
5 1017.111 1.03
5 1018.099 0.99
5 1019.116 1.01
5 1020.095 0.98
5 1021.071 0.97
5 1022.11 1.04
5 1023.125 1.02
5 1024.093 0.97
5 1025.081 0.99
5 1026.125 1.04
5 1027.109 0.98
5 1028.075 0.96
5 1029.102 1.03
5 1030.091 0.99
5 1031.102 1.01
5 1032.112 1.01
5 1033.072 0.96
5 1034.116 1.04
5 1035.088 0.97
5 1036.085 1.0
5 1037.071 0.99
5 1038.111 1.04
5 1039.1 0.99
5 1040.077 0.98
5 1041.123 1.05
5 1042.092 0.97
5 1043.11 1.02
5 1044.091 0.98
5 1045.08 0.99
5 1046.13 1.05
5 1047.103 0.97
5 1048.116 1.01
5 1049.073 0.96
5 1050.12 1.05
5 1051.099 0.98
5 1052.081 0.97
5 1053.116 1.04
5 1054.096 0.98
5 1055.078 0.98
5 1056.118 1.04
5 1057.072 0.95
5 1058.121 1.05
5 1059.098 0.98
5 1060.124 1.02
5 1061.093 0.97
5 1062.123 1.03
5 1063.114 0.99
5 1064.091 0.98
5 1065.148 1.06
5 1066.105 0.96
5 1067.123 1.02
5 1068.078 0.95
5 1069.087 1.01
5 1070.114 1.03
5 1071.08 0.96
5 1072.114 1.03
5 1073.088 0.97
5 1074.12 1.03
5 1075.119 1.0
5 1076.082 0.96
5 1077.091 1.01
5 1078.093 1.0
5 1079.113 1.02
5 1080.091 0.98
5 1081.11 1.02
5 1082.086 0.98
5 1083.082 0.99
5 1084.125 1.04
5 1085.1 0.97
5 1086.114 1.01
5 1087.111 0.99
5 1088.075 0.96
5 1089.103 1.03
5 1090.087 0.98
5 1091.117 1.03
5 1092.082 0.96
5 1093.081 1.0
5 1094.096 1.01
5 1095.079 0.98
5 1096.11 1.03
5 1097.104 0.99
5 1098.097 0.99
5 1099.081 0.98
5 1100.086 1.0
5 1101.126 1.04
5 1102.079 0.95
5 1103.112 1.03
5 1104.086 0.97
5 1105.119 1.03
5 1106.104 0.98
5 1107.095 0.99
5 1108.134 1.04
5 1109.101 0.97
5 1110.118 1.02
5 1111.081 0.96
5 1112.131 1.05
5 1113.083 0.95
5 1114.087 1.0
5 1115.125 1.03
5 1116.079 0.95
5 1117.099 1.02
5 1118.084 0.98
5 1119.092 1.0
5 1120.128 1.04
5 1121.125 0.99
5 1122.131 1.01
5 1123.086 0.95
5 1124.092 1.0
5 1125.079 0.99
5 1126.093 1.01
5 1127.123 1.03
5 1128.084 0.96
5 1129.101 1.01
5 1130.08 0.98
5 1131.104 1.02
5 1132.124 1.02
5 1133.114 0.99
5 1134.092 0.98
5 1135.136 1.04
5 1136.105 0.97
5 1137.087 0.98
5 1138.092 1.0
5 1139.094 1.0
5 1140.101 1.01
5 1141.121 1.02
5 1142.096 0.97
5 1143.105 1.01
5 1144.104 1.0
5 1145.094 0.99
5 1146.1 1.01
5 1147.12 1.02
5 1148.102 0.98
5 1149.11 1.01
5 1150.088 0.98
5 1151.131 1.04
5 1152.094 0.96
5 1153.112 1.02
5 1154.093 0.98
5 1155.106 1.01
5 1156.095 0.99
5 1157.094 1.0
5 1158.139 1.04
5 1159.115 0.98
5 1160.149 1.03
