ID TIME pos
9 1.211 [0.26882527263129224, 0.06568234110134853] [0.44685420215183397, 0.3296397449460481] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
9 86.44 [-0.008169999812661448, 0.20356799990676333] [0.44685420215183397, 0.3296397449460481] [[-0.0040599999999999525, 0.20150999999999986], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.20696000000000003, 0.5444399999999998], [-0.3201099999999999, 0.43965999999999994], [-0.3234300000000001, -0.42513]]
9 91.447 [-0.008169999999975919, 0.2035679999999879] [0.44685420215183397, 0.3296397449460481] [[-0.0040599999999999525, 0.20150999999999986], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.20696000000000003, 0.5444399999999998], [-0.3201099999999999, 0.43965999999999994], [-0.3234300000000001, -0.42513]]
9 96.45 [-0.0081699999999999, 0.20356799999999983] [0.44685420215183397, 0.3296397449460481] [[-0.0040599999999999525, 0.20150999999999986], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.14929000000000014, -0.014869999999999939], [0.20696000000000003, 0.5444399999999998], [-0.3201099999999999, 0.43965999999999994], [-0.3234300000000001, -0.42513]]
9 101.462 [-0.0081699999999999, 0.20356799999999983] [0.44685420215183397, 0.3296397449460481] [[-0.0040599999999999525, 0.20150999999999986], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.14929000000000014, -0.014869999999999939], [0.20696000000000003, 0.5444399999999998], [-0.3201099999999999, 0.43965999999999994], [-0.3234300000000001, -0.42513]]
9 106.47 [-0.0081699999999999, 0.20356799999999983] [0.44685420215183397, 0.3296397449460481] [[-0.0040599999999999525, 0.20150999999999986], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.14929000000000014, -0.014869999999999939], [0.20696000000000003, 0.5444399999999998], [-0.3201099999999999, 0.43965999999999994], [-0.3234300000000001, -0.42513]]
9 111.477 [-0.0081699999999999, 0.20356799999999983] [0.44685420215183397, 0.3296397449460481] [[-0.0040599999999999525, 0.20150999999999986], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.14929000000000014, -0.014869999999999939], [0.20696000000000003, 0.5444399999999998], [-0.3201099999999999, 0.43965999999999994], [-0.3234300000000001, -0.42513]]
9 116.485 [-0.0081699999999999, 0.20356799999999983] [0.44685420215183397, 0.3296397449460481] [[-0.0040599999999999525, 0.20150999999999986], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.14929000000000014, -0.014869999999999939], [0.20696000000000003, 0.5444399999999998], [-0.3201099999999999, 0.43965999999999994], [-0.3234300000000001, -0.42513]]
9 121.493 [-0.0081699999999999, 0.20356799999999983] [0.44685420215183397, 0.3296397449460481] [[-0.0040599999999999525, 0.20150999999999986], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.39978999999999987, 0.2573599999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.14929000000000014, -0.014869999999999939], [0.20696000000000003, 0.5444399999999998], [-0.3201099999999999, 0.43965999999999994], [-0.3234300000000001, -0.42513]]
9 126.501 [-0.0081699999999999, 0.20356799999999983] [0.44685420215183397, 0.3296397449460481] [[-0.0040599999999999525, 0.20150999999999986], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.01532, 0.12232999999999983], [0, 0], [0, 0], [0, 0], [0, 0], [0.14929000000000014, -0.014869999999999939], [0.20696000000000003, 0.5444399999999998], [-0.3201099999999999, 0.43965999999999994], [-0.3234300000000001, -0.42513]]
9 131.508 [-0.0081699999999999, 0.20356799999999983] [0.44685420215183397, 0.3296397449460481] [[-0.0040599999999999525, 0.20150999999999986], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.04181999999999997, 0.14957999999999982], [0, 0], [0, 0], [0, 0], [0, 0], [0.14929000000000014, -0.014869999999999939], [0.20696000000000003, 0.5444399999999998], [-0.3201099999999999, 0.43965999999999994], [-0.3234300000000001, -0.42513]]
