ID TIME pos
5 201.608 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.1012599999999999, -0.2914300000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.15349000000000013, -0.24344999999999994], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 206.617 [0.5943367490298685, -0.3446291056164195] [0.4169125013583713, -0.2787178901987184] [[0.1012599999999999, -0.2914300000000001], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 211.722 [-0.0316214909016166, -0.26490225425740954] [0.4169125013583713, -0.2787178901987184] [[0.1012599999999999, -0.2914300000000001], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0, 0], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 216.73 [-0.03170198964646376, -0.264892001318706] [0.4169125013583713, -0.2787178901987184] [[0.1012599999999999, -0.2914300000000001], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0, 0], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 221.737 [-0.0317019999986686, -0.2648920000001696] [0.4169125013583713, -0.2787178901987184] [[0.1012599999999999, -0.2914300000000001], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0, 0], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 226.745 [-0.031701999999999904, -0.26489200000000007] [0.4169125013583713, -0.2787178901987184] [[0.1012599999999999, -0.2914300000000001], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0, 0], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 231.752 [-0.03170200000000007, -0.26489200000000007] [0.4169125013583713, -0.2787178901987184] [[0.1012599999999999, -0.2914300000000001], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0, 0], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 236.759 [-0.03170200000000007, -0.26489200000000007] [0.4169125013583713, -0.2787178901987184] [[0.1012599999999999, -0.2914300000000001], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0, 0], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 241.767 [-0.03170200000000007, -0.26489200000000007] [0.4169125013583713, -0.2787178901987184] [[0.1012599999999999, -0.2914300000000001], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0, 0], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 246.775 [-0.03170200000000007, -0.26489200000000007] [0.4169125013583713, -0.2787178901987184] [[0.1012599999999999, -0.2914300000000001], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0, 0], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 251.782 [-0.06551082716049388, -0.2611859043209877] [0.4169125013583713, -0.2787178901987184] [[-0.0687899999999999, -0.27343000000000006], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0, 0], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
