ID TIME pos
6 0.098 [0, 0] [-0.3627042145495745, -0.3886294839370129]
6 220.476 [-0.44075910534703877, -0.4634244759359621] [-0.3627042145495745, -0.3886294839370129]
6 225.481 [-0.4417291053470387, -0.4627011426026288] [-0.3627042145495745, -0.3886294839370129]
6 230.487 [-0.4417307720137054, -0.4627011426026288] [-0.3627042145495745, -0.3886294839370129]
6 235.492 [-0.4417149386803721, -0.46269780926929543] [-0.3627042145495745, -0.3886294839370129]
6 240.501 [-0.4416674386803721, -0.46264364260262875] [-0.3627042145495745, -0.3886294839370129]
6 245.506 [-0.44170327201370546, -0.46227447593596205] [-0.3627042145495745, -0.3886294839370129]
6 250.513 [-0.4417024386803721, -0.4622719759359621] [-0.3627042145495745, -0.3886294839370129]
6 255.52 [-0.4406799386803721, -0.46153114260262873] [-0.3627042145495745, -0.3886294839370129]
6 260.526 [-0.4401632720137054, -0.46149780926929546] [-0.3627042145495745, -0.3886294839370129]
6 265.533 [-0.4399845587818819, -0.4612441316331958] [-0.3627042145495745, -0.3886294839370129]
6 270.539 [-0.4399760972434204, -0.4612318239408882] [-0.3627042145495745, -0.3886294839370129]
6 275.544 [-0.4399760972434204, -0.4612318239408882] [-0.3627042145495745, -0.3886294839370129]
6 280.55 [-0.43995378955111275, -0.4612318239408882] [-0.3627042145495745, -0.3886294839370129]
6 285.558 [-0.4394160972434204, -0.46086874701781116] [-0.3627042145495745, -0.3886294839370129]
6 290.564 [-0.4393222510895743, -0.4608079777870419] [-0.3627042145495745, -0.3886294839370129]
6 295.571 [-0.4369870902974618, -0.45786312223082465] [-0.3627042145495745, -0.3886294839370129]
6 300.581 [-0.43695423315460463, -0.45783669365939605] [-0.3627042145495745, -0.3886294839370129]
6 305.583 [-0.43695423315460463, -0.45783669365939605] [-0.3627042145495745, -0.3886294839370129]
6 310.59 [-0.43695423315460463, -0.45783669365939605] [-0.3627042145495745, -0.3886294839370129]
6 315.6 [-0.4369106617260332, -0.4577874079451103] [-0.3627042145495745, -0.3886294839370129]
6 320.605 [-0.4368985188688903, -0.45776026508796747] [-0.3627042145495745, -0.3886294839370129]
6 325.612 [-0.43671137601174753, -0.4573452650879674] [-0.3627042145495745, -0.3886294839370129]
6 330.618 [-0.4363835188688904, -0.4572702650879675] [-0.3627042145495745, -0.3886294839370129]
6 335.622 [-0.4360435188688903, -0.45693740794511023] [-0.3627042145495745, -0.3886294839370129]
6 340.629 [-0.4358192331546046, -0.4567645508022532] [-0.3627042145495745, -0.3886294839370129]
