ID TIME ETH
11 16530.405 30.793034697430876037
11 16535.489 30.793034697430876037
11 16540.563 30.793034697430876037
11 16545.654 30.793034697430876037
11 16550.756 30.793034697430876037
11 16555.841 30.793034697430876037
11 16560.944 30.793034697430876037
11 16566.07 30.793034697430876037
11 16571.181 30.793034697430876037
11 16576.254 30.793034697430876037
11 16581.283 30.793034697430876037
11 16586.362 30.793034697430876037
11 16591.45 30.793034697430876037
11 16596.697 30.793034697430876037
11 16601.934 30.793034697430876037
11 16607.051 30.793034697430876037
11 16612.214 30.793034697430876037
11 16617.26 30.793034697430876037
11 16622.366 30.793034697430876037
11 16627.433 30.793034697430876037
11 16632.551 30.793034697430876037
11 16637.64 30.793034697430876037
11 16642.665 30.793034697430876037
11 16647.838 30.793034697430876037
11 16652.868 30.793034697430876037
11 16657.907 30.793034697430876037
11 16662.974 30.793034697430876037
11 16668.045 30.793034697430876037
11 16673.175 30.793034697430876037
11 16678.231 30.793034697430876037
11 16683.254 30.793034697430876037
11 16688.372 30.793034697430876037
11 16693.412 30.793034697430876037
11 16698.792 30.793034697430876037
11 16703.861 30.793034697430876037
11 16709.033 30.793034697430876037
11 16714.07 30.793034697430876037
11 16719.162 30.793034697430876037
11 16724.179 30.793034697430876037
11 16729.249 30.793034697430876037
11 16734.319 30.793034697430876037
11 16739.385 30.793034697430876037
11 16744.444 30.793034697430876037
11 16749.468 30.793034697430876037
11 16754.477 30.793034697430876037
11 16759.567 30.793034697430876037
11 16764.7 30.793034697430876037
11 16769.736 30.793034697430876037
11 16774.781 30.793034697430876037
11 16780.001 30.793034697430876037
11 16785.047 30.793034697430876037
11 16790.068 30.793034697430876037
11 16795.171 30.793034697430876037
11 16800.282 30.793034697430876037
11 16805.344 30.793034697430876037
11 16810.349 30.793034697430876037
11 16815.501 30.793034697430876037
11 16820.59 30.793034697430876037
11 16825.664 30.793034697430876037
11 16830.717 30.793034697430876037
11 16835.744 30.793034697430876037
11 16840.781 30.793034697430876037
11 16845.872 30.793034697430876037
11 16851.061 30.793034697430876037
11 16856.18 30.793034697430876037
11 16861.272 30.793034697430876037
11 16866.312 30.793034697430876037
11 16871.37 30.793034697430876037
11 16876.416 30.793034697430876037
11 16881.47 30.793034697430876037
11 16886.493 30.793034697430876037
11 16891.688 30.793034697430876037
11 16896.928 30.793034697430876037
11 16902.037 30.793034697430876037
11 16907.061 30.793034697430876037
11 16912.156 30.793034697430876037
11 16917.256 30.793034697430876037
11 16922.356 30.793034697430876037
11 16927.466 30.793034697430876037
11 16932.486 30.793034697430876037
11 16937.559 30.793034697430876037
11 16942.731 30.793034697430876037
11 16947.745 30.793034697430876037
11 16952.778 30.793034697430876037
11 16958.082 30.793034697430876037
11 16963.158 30.793034697430876037
11 16968.259 30.793034697430876037
11 16973.353 30.793034697430876037
11 16978.458 30.793034697430876037
11 16983.541 30.793034697430876037
11 16988.869 30.793034697430876037
11 16994.007 30.793034697430876037
11 16999.049 30.793034697430876037
11 17004.087 30.793034697430876037
11 17009.107 30.793034697430876037
11 17014.243 30.793034697430876037
11 17019.601 30.793034697430876037
11 17024.668 30.793034697430876037
11 17029.95 30.793034697430876037
11 17035.097 30.793034697430876037
11 17040.164 30.793034697430876037
11 17045.272 30.793034697430876037
11 17050.3 30.793034697430876037
11 17055.375 30.793034697430876037
11 17060.475 30.793034697430876037
11 17065.575 30.793034697430876037
11 17070.674 30.793034697430876037
11 17075.764 30.793034697430876037
11 17080.793 30.793034697430876037
11 17085.844 30.793034697430876037
11 17090.874 30.793034697430876037
11 17095.973 30.793034697430876037
11 17101.045 30.793034697430876037
11 17106.067 30.793034697430876037
11 17111.153 30.793034697430876037
11 17116.166 30.793034697430876037
11 17121.262 30.793034697430876037
11 17126.375 20.862023131620584025
11 17131.47 20.862023131620584025
11 17136.561 20.862023131620584025
11 17141.67 20.862023131620584025
11 17146.745 20.862023131620584025
11 17151.853 20.862023131620584025
11 17156.94 20.862023131620584025
11 17162.109 20.862023131620584025
11 17167.381 20.862023131620584025
11 17172.662 20.862023131620584025
11 17177.78 20.862023131620584025
11 17183.034 20.862023131620584025
11 17188.053 20.862023131620584025
11 17193.114 20.862023131620584025
11 17198.181 20.862023131620584025
11 17203.197 20.862023131620584025
11 17208.289 20.862023131620584025
11 17213.538 20.862023131620584025
11 17218.594 20.862023131620584025
11 17223.761 20.862023131620584025
11 17228.852 20.862023131620584025
11 17233.916 20.862023131620584025
11 17239.048 20.862023131620584025
11 17244.089 20.862023131620584025
11 17249.433 30.793034697430876037
11 17254.494 30.793034697430876037
11 17259.624 30.793034697430876037
11 17264.896 30.793034697430876037
11 17269.94 30.793034697430876037
11 17274.969 30.793034697430876037
11 17280.072 30.793034697430876037
11 17285.565 30.793034697430876037
11 17290.601 30.793034697430876037
11 17296.004 30.793034697430876037
11 17301.137 30.793034697430876037
11 17306.18 30.793034697430876037
11 17312.037 30.793034697430876037
11 17317.516 30.793034697430876037
11 17322.555 30.793034697430876037
11 17328.516 30.793034697430876037
11 17333.63 30.793034697430876037
11 17338.781 30.793034697430876037
11 17344.295 30.793034697430876037
11 17350.248 30.793034697430876037
11 17355.393 30.793034697430876037
11 17360.668 30.793034697430876037
11 17365.909 30.793034697430876037
11 17371.607 30.793034697430876037
11 17377.23 30.793034697430876037
11 17382.393 30.793034697430876037
11 17388.94 30.793034697430876037
11 17394.405 30.793034697430876037
11 17399.429 30.793034697430876037
11 17404.574 30.793034697430876037
11 17410.033 30.793034697430876037
11 17415.328 30.793034697430876037
11 17420.483 30.793034697430876037
11 17426.14 30.793034697430876037
11 17431.594 30.793034697430876037
11 17436.609 30.793034697430876037
11 17442.127 30.793034697430876037
11 17447.874 30.793034697430876037
11 17452.908 30.793034697430876037
11 17458.219 30.793034697430876037
11 17463.403 30.793034697430876037
11 17468.521 30.793034697430876037
11 17473.55 30.793034697430876037
11 17478.653 30.793034697430876037
11 17483.762 30.793034697430876037
11 17488.857 30.793034697430876037
11 17494.029 30.793034697430876037
11 17499.056 30.793034697430876037
11 17504.108 30.793034697430876037
11 17509.132 30.793034697430876037
11 17514.179 30.793034697430876037
11 17519.207 30.793034697430876037
11 17524.313 30.793034697430876037
11 17529.345 30.793034697430876037
11 17534.393 30.793034697430876037
11 17539.515 30.793034697430876037
11 17544.671 30.793034697430876037
11 17549.699 30.793034697430876037
11 17554.779 30.793034697430876037
11 17559.891 30.793034697430876037
11 17565.007 30.793034697430876037
11 17570.018 30.793034697430876037
11 17575.096 30.793034697430876037
11 17580.126 30.793034697430876037
11 17585.175 30.793034697430876037
11 17590.303 30.793034697430876037
11 17595.514 30.793034697430876037
11 17600.875 30.793034697430876037
11 17606.18 30.793034697430876037
11 17611.263 30.793034697430876037
11 17616.484 30.793034697430876037
11 17621.707 30.793034697430876037
11 17626.757 30.793034697430876037
11 17631.86 30.793034697430876037
11 17636.948 30.793034697430876037
11 17641.953 30.793034697430876037
11 17646.96 30.793034697430876037
11 17652.313 30.793034697430876037
11 17657.387 30.793034697430876037
11 17662.468 30.793034697430876037
11 17667.569 30.793034697430876037
11 17672.629 30.793034697430876037
11 17677.667 30.793034697430876037
11 17682.75 30.793034697430876037
11 17687.776 30.793034697430876037
11 17692.89 30.793034697430876037
