ID TIME pos
3 0.1 [0, 0] [-0.4151936453729273, 0.22974086911812752]
3 395.619 [-0.5746279022004434, 0.2085338198656591] [-0.4151936453729273, 0.22974086911812752]
3 400.626 [-0.5746279022004434, 0.20853448653232579] [-0.4151936453729273, 0.22974086911812752]
3 405.632 [-0.5746279022004434, 0.20853448653232579] [-0.4151936453729273, 0.22974086911812752]
3 410.637 [-0.5746252355337766, 0.20855381986565913] [-0.4151936453729273, 0.22974086911812752]
3 415.644 [-0.5746212355337766, 0.20857181986565912] [-0.4151936453729273, 0.22974086911812752]
3 420.652 [-0.5730839022004433, 0.20957848653232583] [-0.4151936453729273, 0.22974086911812752]
3 425.658 [-0.57254056886711, 0.21044181986565916] [-0.4151936453729273, 0.22974086911812752]
3 430.665 [-0.57254056886711, 0.21044181986565916] [-0.4151936453729273, 0.22974086911812752]
3 435.672 [-0.57254056886711, 0.21044181986565916] [-0.4151936453729273, 0.22974086911812752]
3 440.68 [-0.57254056886711, 0.21044181986565916] [-0.4151936453729273, 0.22974086911812752]
3 445.685 [-0.5668652355337767, 0.21391515319899249] [-0.4151936453729273, 0.22974086911812752]
3 450.691 [-0.5664632355337766, 0.21410315319899245] [-0.4151936453729273, 0.22974086911812752]
3 455.695 [-0.5664252355337765, 0.2141578198656591] [-0.4151936453729273, 0.22974086911812752]
3 460.704 [-0.5657179022004434, 0.21439781986565914] [-0.4151936453729273, 0.22974086911812752]
3 465.708 [-0.5657179022004434, 0.21439781986565914] [-0.4151936453729273, 0.22974086911812752]
3 470.717 [-0.5656919022004433, 0.21438915319899246] [-0.4151936453729273, 0.22974086911812752]
3 475.724 [-0.5656512355337766, 0.2144184865323258] [-0.4151936453729273, 0.22974086911812752]
3 480.732 [-0.5655579022004434, 0.21445581986565915] [-0.4151936453729273, 0.22974086911812752]
3 485.738 [-0.56555656886711, 0.21445648653232582] [-0.4151936453729273, 0.22974086911812752]
3 490.744 [-0.56555656886711, 0.21445648653232582] [-0.4151936453729273, 0.22974086911812752]
3 495.75 [-0.56555656886711, 0.21445648653232582] [-0.4151936453729273, 0.22974086911812752]
3 500.756 [-0.56555656886711, 0.21445648653232582] [-0.4151936453729273, 0.22974086911812752]
3 505.764 [-0.56555656886711, 0.21445648653232582] [-0.4151936453729273, 0.22974086911812752]
3 510.77 [-0.56555656886711, 0.21445648653232582] [-0.4151936453729273, 0.22974086911812752]
3 515.776 [-0.56555656886711, 0.21445648653232582] [-0.4151936453729273, 0.22974086911812752]
3 520.783 [-0.56555656886711, 0.21445648653232582] [-0.4151936453729273, 0.22974086911812752]
3 525.789 [-0.56554856886711, 0.2144611531989925] [-0.4151936453729273, 0.22974086911812752]
3 530.796 [-0.56554856886711, 0.2144611531989925] [-0.4151936453729273, 0.22974086911812752]
3 535.803 [-0.5644725688671101, 0.21505248653232584] [-0.4151936453729273, 0.22974086911812752]
3 540.811 [-0.56444456886711, 0.21506981986565915] [-0.4151936453729273, 0.22974086911812752]
3 545.817 [-0.5644412355337767, 0.21507048653232583] [-0.4151936453729273, 0.22974086911812752]
3 550.823 [-0.5644412355337767, 0.21507048653232583] [-0.4151936453729273, 0.22974086911812752]
3 555.83 [-0.5644412355337767, 0.21507048653232583] [-0.4151936453729273, 0.22974086911812752]
3 560.835 [-0.5644412355337767, 0.21507048653232583] [-0.4151936453729273, 0.22974086911812752]
3 565.842 [-0.5644412355337767, 0.21507048653232583] [-0.4151936453729273, 0.22974086911812752]
3 570.849 [-0.5644032355337767, 0.21507248653232583] [-0.4151936453729273, 0.22974086911812752]
3 575.855 [-0.5639439022004434, 0.21535181986565916] [-0.4151936453729273, 0.22974086911812752]
3 580.862 [-0.5639432355337768, 0.21535248653232583] [-0.4151936453729273, 0.22974086911812752]
3 585.868 [-0.5636172355337767, 0.21556248653232585] [-0.4151936453729273, 0.22974086911812752]
3 590.874 [-0.5636119022004434, 0.21556715319899253] [-0.4151936453729273, 0.22974086911812752]
3 595.879 [-0.5626732355337768, 0.21644115319899254] [-0.4151936453729273, 0.22974086911812752]
