ID TIME pos
13 1.213 [0, 0] [-0.3781447599733927, 0.43012187328727475] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
13 257.494 [-0.44807800024574523, 0.004050000131422676] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.44636999999999993, 0.044319999999999915], [0, 0], [0, 0], [0, 0], [0, 0], [-0.14344, 0.35790999999999995], [0, 0], [0, 0], [0, 0], [-0.44639000000000006, 0.05928000000000022], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
13 262.502 [-0.44807800024574523, 0.004050000131422676] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.44636999999999993, 0.044319999999999915], [0, 0], [0, 0], [0, 0], [0, 0], [-0.14344, 0.35790999999999995], [0, 0], [0, 0], [0, 0], [-0.44638, 0.054300000000000015], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
13 267.609 [-0.44807800024574523, 0.004050000131422676] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.44636999999999993, 0.044319999999999915], [0, 0], [0, 0], [0, 0], [0, 0], [-0.14344, 0.35790999999999995], [0, 0], [0, 0], [0, 0], [-0.44638, 0.054300000000000015], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
13 272.617 [-0.44807800024574523, 0.004050000131422676] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.44636999999999993, 0.044319999999999915], [0, 0], [0, 0], [0, 0], [0, 0], [-0.14344, 0.35790999999999995], [0, 0], [0, 0], [0, 0], [-0.44638, 0.054300000000000015], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
13 277.625 [-0.44807800024574523, 0.004050000131422676] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.44636999999999993, 0.044319999999999915], [0, 0], [0, 0], [0, 0], [0, 0], [-0.14344, 0.35790999999999995], [0, 0], [0, 0], [0, 0], [-0.44638, 0.054300000000000015], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
13 282.732 [-0.44807800024574523, 0.004050000131422676] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.44636999999999993, 0.044319999999999915], [0, 0], [0, 0], [0, 0], [0, 0], [-0.14344, 0.35790999999999995], [0, 0], [0, 0], [0, 0], [-0.44638, 0.054300000000000015], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
13 287.84 [-0.44807800024574523, 0.004050000131422676] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.44636999999999993, 0.044319999999999915], [0, 0], [0, 0], [0, 0], [0, 0], [-0.14344, 0.35790999999999995], [0, 0], [0, 0], [0, 0], [-0.44638, 0.054300000000000015], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
13 292.947 [-0.44807800024574523, 0.004050000131422676] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.44636999999999993, 0.044319999999999915], [0, 0], [0, 0], [0, 0], [0, 0], [-0.14344, 0.35790999999999995], [0, 0], [0, 0], [0, 0], [-0.44638, 0.054300000000000015], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
13 297.955 [-0.44807800024574523, 0.004050000131422676] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.44636999999999993, 0.044319999999999915], [0, 0], [0, 0], [0, 0], [0, 0], [-0.14344, 0.35790999999999995], [0, 0], [0, 0], [0, 0], [-0.44638, 0.054300000000000015], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
13 302.961 [-0.44807800024574523, 0.004050000131422676] [-0.3781447599733927, 0.43012187328727475] [[-0.4551400000000001, 0.08226999999999984], [-0.44636999999999993, 0.044319999999999915], [0, 0], [0, 0], [0, 0], [0, 0], [-0.14344, 0.35790999999999995], [0, 0], [0, 0], [0, 0], [-0.44638, 0.054300000000000015], [0, 0], [0, 0], [-0.44632000000000005, 0.01440000000000019], [-0.4270799999999999, -0.30762]]
