ID TIME pos
9 0.097 [0, 0] [0.4514688196983951, 0.4391248372732914]
9 150.596 [0.379545, 0.36758] [0.4514688196983951, 0.4391248372732914]
9 155.603 [0.379545, 0.36758] [0.4514688196983951, 0.4391248372732914]
9 160.606 [0.45040166666666664, 0.3573866666666667] [0.4514688196983951, 0.4391248372732914]
9 165.612 [0.47336, 0.37641166666666664] [0.4514688196983951, 0.4391248372732914]
9 170.618 [0.4740657142857142, 0.3815885714285714] [0.4514688196983951, 0.4391248372732914]
9 175.625 [0.5245175, 0.39202250000000005] [0.4514688196983951, 0.4391248372732914]
9 180.633 [0.5112949999999999, 0.3778800000000001] [0.4514688196983951, 0.4391248372732914]
9 185.639 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 190.746 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 195.751 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 200.762 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 205.767 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 210.875 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 215.877 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 220.883 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 225.895 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 230.899 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 235.904 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 240.916 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 245.917 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 250.928 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 255.93 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 260.941 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 265.944 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 270.95 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 275.957 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 280.966 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 285.973 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 290.974 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 295.981 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 300.986 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 305.993 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 311.0 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 316.006 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 321.012 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 326.019 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 331.025 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 336.031 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 341.04 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 346.046 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 351.05 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 356.058 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 361.064 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 366.071 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 371.078 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 376.085 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 381.09 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 386.102 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 391.105 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 396.11 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 401.117 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 406.123 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 411.132 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 416.242 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 421.243 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 426.245 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 431.257 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 436.261 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 441.27 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 446.277 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 451.283 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 456.29 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 461.295 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 466.305 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 471.307 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 476.318 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 481.319 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 486.327 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 491.332 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 496.339 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 501.346 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 506.353 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 511.365 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 516.367 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 521.373 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 526.38 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 531.388 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 536.391 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 541.401 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 546.506 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 551.513 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 556.521 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 561.527 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 566.533 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 571.541 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 576.547 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 581.553 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 586.561 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 591.565 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
9 596.571 [0.5630836819825229, 0.4483170884222782] [0.4514688196983951, 0.4391248372732914]
